Date,Close,Open,High,Low,adj_close
12/22/2021,7050,7175,7200,7050,6729.182129
12/23/2021,7075,7050,7150,7050,6753.044434
12/24/2021,7050,7100,7150,6950,6729.182129
12/27/2021,7000,7050,7100,6975,6681.45752
12/28/2021,7050,7050,7050,6975,6729.182129
12/29/2021,7100,7075,7125,7000,6776.906738
12/30/2021,7025,7100,7125,7025,6705.319824
1/3/2022,7050,7100,7125,7025,6729.182129
1/4/2022,7175,7075,7200,7050,6848.494141
1/5/2022,7025,7150,7175,6925,6705.319824
1/6/2022,7025,7075,7075,6950,6705.319824
1/7/2022,7050,7025,7100,7025,6729.182129
1/10/2022,7050,7075,7100,7050,6729.182129
1/11/2022,7050,7100,7100,7000,6729.182129
1/12/2022,7150,7050,7150,7050,6824.631836
1/13/2022,7125,7150,7175,7100,6800.769531
1/14/2022,7175,7075,7225,7075,6848.494141
1/17/2022,7200,7250,7275,7150,6872.356445
1/18/2022,7250,7175,7250,7100,6920.081055
1/19/2022,7025,7175,7200,7000,6705.319824
1/20/2022,7175,7100,7175,7025,6848.494141
1/21/2022,7300,7175,7300,7125,6967.805664
1/24/2022,7275,7275,7275,7200,6943.943359
1/25/2022,7225,7200,7250,7150,6896.21875
1/26/2022,7475,7300,7475,7225,7134.842285
1/27/2022,7550,7475,7600,7400,7206.429199
1/28/2022,7650,7625,7650,7550,7301.878418
